id,product,amount,credit rating,cancellation,age
66758799,K1,81900,1,정상,
66758799,K2,81900,1,정상,60
66331658,K1,102900,,정상,
66758349,K1,96900,2,정상,49
66464668,K2,87900,1,정상,73
66635455,K3,90900,,정상,
66758280,K1,96900,9,정상,50
66165764,K3,90900,2,정상,28
66758737,K1,105900,3,정상,42
66423734,K1,66900,5,정상,42
25742816,K1,87900,,정상,
25777820,K1,180750,,정상,
25777820,K1,180750,,정상,
25777820,K1,180750,,정상,
25777820,K1,96900,,정상,
66586254,K1,111900,4,정상,61
66758567,K1,104400,2,정상,50
66758567,K2,89400,2,정상,49
66757020,K1,105900,8,정상,41
66757020,K2,102900,8,정상,30
66757400,K1,81900,5,정상,64
66757400,K2,81900,5,정상,46
66757780,K1,96900,3,정상,70
66758781,K1,96900,1,정상,
66757037,K1,98400,1,정상,25
66757037,K2,89400,1,정상,41
25742940,K1,124200,,정상,
66180881,K1,96900,1,정상,57
66758019,K1,105900,6,정상,61
66758019,K3,102900,6,정상,60
66758756,K1,87900,6,정상,30
66756981,K1,81900,6,정상,60
66756981,K2,81900,6,정상,20
66758912,K1,105900,1,정상,26
66331824,K1,96900,9,정상,29
66758558,K1,81900,7,정상,37
66758558,K2,81900,7,정상,54
66423271,K1,66900,3,정상,39
66758193,K2,102900,6,정상,31
66758193,K6,185700,6,정상,45
66758062,K1,105900,8,정상,38
66758539,K1,96900,2,정상,47
66423638,K1,66900,4,해약,
25742824,K1,96900,,정상,
66419693,K1,96900,,정상,
66758980,K1,81900,2,정상,47
66758980,K2,81900,2,정상,28
66758497,K1,96900,2,정상,58
66758754,K1,96900,7,정상,53
66423757,K1,66900,4,정상,65
66757445,K1,96900,1,정상,62
66422385,K1,96900,7,정상,62
66758673,K1,81900,1,정상,71
66758673,K2,81900,1,정상,51
66753980,K1,105900,1,정상,63
66512784,K3,90900,1,정상,41
66601172,K1,96900,4,정상,44
66758077,K2,90900,1,정상,52
66182028,K1,96900,1,정상,39
66423840,K2,55200,1,정상,51
66423020,K1,96900,3,정상,25
66758519,K2,90900,1,정상,62
25872371,K1,96900,,정상,
66758735,K1,81900,8,정상,56
66758735,K2,81900,8,정상,40
66718199,K1,105900,3,정상,46
66757370,K1,105900,7,정상,55
66758096,K1,87900,2,정상,56
66620108,K2,90900,4,정상,52
25742691,K1,96900,,정상,
66758847,K1,87900,5,정상,44
66758133,K1,81900,1,정상,68
66758133,K2,81900,1,정상,58
66635702,K3,90900,2,정상,28
66423575,K1,66900,7,정상,43
25742718,K1,96900,,정상,
66758469,K1,104400,1,정상,44
66758469,K2,89400,1,정상,40
66758700,K1,102900,2,정상,
66758670,K1,81900,8,정상,54
66758670,K2,81900,8,정상,73
25742670,K1,96900,,정상,
66279127,K1,96900,4,정상,43
66758695,,96900,2,정상,48
66758930,K2,87900,1,정상,23
66420756,K1,96900,,정상,
66425008,K1,96900,2,정상,58
66758741,K3,90900,3,정상,51
66757914,K1,105900,5,정상,
66758590,K1,105900,8,정상,25
66717017,K3,90900,4,정상,45
66177864,K1,102900,1,정상,61
66758223,K1,96900,,정상,
66758620,K1,87900,1,정상,62
25739412,K1,96900,,정상,
66757486,K1,111900,1,정상,57
66688379,K1,102900,2,정상,56
66756278,K1,96900,1,정상,44
66422344,K1,75900,1,정상,40
66365694,K3,90900,3,정상,51
66757865,K2,102900,2,정상,26
66132567,K1,81900,3,정상,47
66132567,K2,81900,3,정상,28
66141981,K1,66900,,정상,
66758696,K1,105900,4,정상,34
66757064,K1,96900,2,정상,38
66315710,K2,90900,7,정상,56
66757744,K1,81900,1,정상,41
66757744,K2,81900,1,정상,52
66757157,K2,96900,1,정상,31
66758559,K1,96900,3,정상,37
66191423,K1,102900,2,정상,31
66758571,K1,96900,7,정상,56
25742701,K1,96900,,정상,
66423250,K1,66900,7,정상,75
66758659,K1,96900,6,정상,45
66758864,K1,105900,1,정상,54
66758564,K1,104400,4,정상,66
66758564,K2,89400,4,정상,59
