,1번웨이퍼,2번웨이퍼,3번웨이퍼,Error_Chip_Rate_Path,PATH
153,Path_31333,Path_22211,Path_13122,0.051479591836734694,104
118,Path_13222,Path_22311,Path_31133,0.05137894736842105,105
93,Path_11333,Path_23222,Path_32111,0.05136734693877551,106
140,Path_23222,Path_31333,Path_12111,0.051277777777777776,107
85,Path_11222,Path_22333,Path_33111,0.051225806451612906,108
72,Path_33311,Path_11222,Path_22133,0.051175824175824176,109
57,Path_21322,Path_13111,Path_32233,0.05114,110
39,Path_21222,Path_33333,Path_12111,0.05103061224489796,111
10,Path_21122,Path_13333,Path_32211,0.05097,112
115,Path_13222,Path_22111,Path_31333,0.05094897959183674,113
92,Path_11333,Path_22222,Path_33111,0.05088,114
36,Path_21222,Path_32133,Path_13311,0.050768041237113405,115
101,Path_12133,Path_23211,Path_31322,0.05076595744680851,116
145,Path_23311,Path_31233,Path_12122,0.05076595744680851,117
18,Path_21133,Path_13222,Path_32311,0.050755102040816326,118
76,Path_11111,Path_22222,Path_33333,0.050675,119
146,Path_23311,Path_32122,Path_11233,0.05063829787234043,120
84,Path_11222,Path_22111,Path_33333,0.0505625,121
11,Path_21122,Path_32311,Path_13233,0.05054,122
184,Path_22311,Path_33122,Path_11233,0.05051063829787234,123
3,Path_21111,Path_33222,Path_12333,0.050326086956521736,124
196,Path_12111,Path_23322,Path_31233,0.0503125,125
159,Path_32311,Path_23233,Path_11122,0.05024468085106383,126
143,Path_23311,Path_32222,Path_11133,0.050176767676767674,127
141,Path_23222,Path_32133,Path_11311,0.050176767676767674,128
30,Path_21211,Path_13133,Path_32322,0.05002325581395349,129
79,Path_11111,Path_32222,Path_23333,0.04999489795918367,130
133,Path_22333,Path_33211,Path_11122,0.04998936170212766,131
182,Path_22311,Path_31122,Path_13233,0.049882978723404255,132
157,Path_32133,Path_23322,Path_11211,0.04985106382978723,133
202,Path_23111,Path_32233,Path_11322,0.04980851063829787,134
125,Path_22111,Path_33233,Path_11322,0.04976,135
194,Path_12111,Path_23333,Path_31222,0.049664835164835164,136
20,Path_21133,Path_32211,Path_13322,0.0496,137
